sp_id	sp_gq_id	age	sex
939285044	450031709	54	F
939882577	450037115	79	F
940620089	450037115	72	M
940620093	450037115	66	M
940620092	450037115	88	M
940620091	450037115	73	M
939882578	450037115	87	F
939882579	450037115	88	F
939882580	450037115	105	F
939882581	450037115	89	F
939882582	450037115	74	F
939882583	450037115	80	F
939882584	450037115	93	F
939882585	450037115	65	F
939882586	450037115	97	F
940620090	450037115	76	M
939351280	450037115	58	F
939882576	450037115	70	F
939882575	450037115	93	F
939882574	450037115	77	F
939882573	450037115	102	F
939882572	450037115	85	F
939882571	450037115	92	F
939882570	450037115	85	F
939882569	450037115	67	F
939882568	450037115	88	F
939882567	450037115	83	F
939882566	450037115	77	F
939882565	450037115	88	F
939882564	450037115	77	F
939882563	450037115	96	F
939882562	450037115	72	F
939882561	450037115	84	F
939882560	450037115	85	F
939882558	450037115	85	F
939882557	450037115	78	F
939882556	450037115	84	F
939882555	450037115	78	F
939882554	450037115	77	F
939882553	450037115	85	F
939882559	450037115	75	F
940356968	450037115	57	M
940620086	450037115	77	M
940620087	450037115	68	M
940620088	450037115	86	M
938982995	450005468	21	F
938982997	450005468	22	F
938982998	450005468	23	F
938982999	450005468	23	F
938983000	450005468	24	F
938983001	450005468	24	F
938983002	450005468	25	F
938983003	450005468	26	F
938983004	450005468	27	F
938983005	450005468	28	F
938983006	450005468	29	F
938983007	450005468	30	F
938983008	450005468	31	F
938983009	450005468	32	F
938983010	450005468	33	F
938983011	450005468	34	F
938983012	450005468	35	F
938983013	450005468	36	F
938983014	450005468	37	F
938983015	450005468	38	F
938983016	450005468	39	F
938983017	450005468	40	F
939047879	450005468	46	M
939047878	450005468	45	M
939047877	450005468	44	M
939047876	450005468	43	M
939047875	450005468	42	M
939047874	450005468	41	M
939047873	450005468	40	M
939047872	450005468	39	M
939047871	450005468	38	M
939047870	450005468	37	M
939047869	450005468	36	M
939047868	450005468	35	M
939047867	450005468	35	M
939047866	450005468	34	M
939047865	450005468	34	M
939047864	450005468	33	M
939047863	450005468	33	M
939047862	450005468	32	M
939047861	450005468	32	M
939047860	450005468	31	M
939047859	450005468	31	M
939047858	450005468	30	M
939047857	450005468	30	M
939047856	450005468	29	M
939047855	450005468	29	M
939047854	450005468	28	M
939047853	450005468	28	M
939047852	450005468	27	M
939047851	450005468	27	M
939047850	450005468	26	M
939047849	450005468	26	M
939047848	450005468	26	M
939047847	450005468	25	M
939047846	450005468	25	M
939047845	450005468	25	M
939047844	450005468	24	M
939047843	450005468	24	M
939047842	450005468	24	M
939047841	450005468	23	M
939047840	450005468	23	M
939047839	450005468	23	M
939047838	450005468	23	M
939047837	450005468	22	M
939047836	450005468	22	M
939047835	450005468	22	M
939047834	450005468	22	M
939047833	450005468	21	M
939047832	450005468	21	M
939047831	450005468	21	M
939047830	450005468	21	M
939047829	450005468	20	M
939047828	450005468	20	M
939047827	450005468	20	M
939047826	450005468	20	M
939047825	450005468	19	M
939047824	450005468	19	M
939047823	450005468	19	M
939047822	450005468	18	M
938982990	450005468	18	F
938982991	450005468	19	F
938982992	450005468	20	F
938982993	450005468	20	F
938982994	450005468	21	F
938982996	450005468	22	F
943088165	450024116	17	M
943088166	450024116	16	M
939047916	450005469	21	M
939047915	450005469	21	M
939047914	450005469	21	M
939047913	450005469	21	M
939047912	450005469	21	M
939047911	450005469	21	M
939047910	450005469	21	M
939047909	450005469	21	M
939047908	450005469	20	M
939047907	450005469	20	M
939047906	450005469	20	M
939047905	450005469	20	M
939047904	450005469	20	M
939047903	450005469	20	M
939047902	450005469	20	M
939047901	450005469	20	M
939047900	450005469	20	M
939047899	450005469	20	M
939047898	450005469	20	M
939047918	450005469	21	M
939047917	450005469	21	M
939047897	450005469	20	M
939047896	450005469	20	M
939047895	450005469	20	M
939047894	450005469	19	M
939047893	450005469	19	M
939047892	450005469	19	M
939047891	450005469	19	M
939047890	450005469	19	M
939047889	450005469	19	M
939047888	450005469	19	M
939047887	450005469	19	M
939047886	450005469	19	M
939047885	450005469	19	M
939047884	450005469	18	M
939047883	450005469	18	M
939047882	450005469	18	M
939047881	450005469	18	M
939047880	450005469	18	M
938983052	450005469	29	F
938983051	450005469	29	F
938983050	450005469	28	F
938983049	450005469	28	F
938983048	450005469	27	F
938983047	450005469	27	F
938983046	450005469	26	F
938983045	450005469	26	F
938983044	450005469	26	F
938983043	450005469	25	F
938983042	450005469	25	F
938983041	450005469	25	F
938983040	450005469	24	F
938983039	450005469	24	F
938983038	450005469	24	F
938983037	450005469	23	F
938983036	450005469	23	F
938983035	450005469	23	F
938983034	450005469	23	F
938983033	450005469	22	F
938983032	450005469	22	F
938983031	450005469	22	F
938983030	450005469	22	F
938983029	450005469	21	F
938983028	450005469	21	F
938983027	450005469	21	F
938983026	450005469	21	F
938983025	450005469	20	F
938983024	450005469	20	F
938983023	450005469	20	F
938983022	450005469	20	F
938983021	450005469	19	F
938983020	450005469	19	F
938983019	450005469	19	F
938983018	450005469	18	F
939047983	450005469	26	M
939047984	450005469	26	M
939047985	450005469	26	M
939047986	450005469	26	M
939047987	450005469	27	M
939047988	450005469	27	M
939047989	450005469	27	M
939047990	450005469	27	M
939047991	450005469	27	M
939047992	450005469	27	M
939047993	450005469	27	M
939047994	450005469	27	M
939047995	450005469	27	M
939047996	450005469	28	M
939047997	450005469	28	M
939047998	450005469	28	M
939047999	450005469	28	M
939048000	450005469	28	M
939048001	450005469	28	M
939048002	450005469	28	M
939048003	450005469	28	M
939048004	450005469	29	M
939048005	450005469	29	M
939048006	450005469	29	M
939048007	450005469	29	M
939048008	450005469	29	M
939048009	450005469	29	M
939048010	450005469	29	M
939048011	450005469	30	M
939048012	450005469	30	M
939048013	450005469	30	M
939048014	450005469	30	M
939048015	450005469	30	M
939048016	450005469	30	M
939048017	450005469	30	M
939048018	450005469	31	M
939048019	450005469	31	M
939048020	450005469	31	M
939048021	450005469	31	M
939048022	450005469	31	M
939048023	450005469	31	M
939048024	450005469	32	M
939048025	450005469	32	M
939048026	450005469	32	M
939048027	450005469	32	M
939048028	450005469	32	M
939048029	450005469	32	M
939048030	450005469	33	M
939048031	450005469	33	M
939048032	450005469	33	M
939048033	450005469	33	M
939048034	450005469	33	M
939048035	450005469	33	M
939048036	450005469	34	M
939048037	450005469	34	M
939048038	450005469	34	M
939048039	450005469	34	M
939048040	450005469	34	M
939048041	450005469	34	M
939048042	450005469	35	M
939048043	450005469	35	M
939048044	450005469	35	M
939048045	450005469	35	M
939048046	450005469	35	M
939048047	450005469	35	M
939048048	450005469	36	M
939048049	450005469	36	M
939048050	450005469	36	M
939048051	450005469	36	M
939048052	450005469	36	M
939048053	450005469	37	M
939048054	450005469	37	M
939048055	450005469	37	M
939048056	450005469	37	M
939048057	450005469	37	M
939048058	450005469	38	M
939048059	450005469	38	M
939048060	450005469	38	M
939048061	450005469	38	M
939048062	450005469	38	M
939048063	450005469	39	M
939048064	450005469	39	M
939048065	450005469	39	M
939048066	450005469	39	M
939048067	450005469	39	M
939048068	450005469	40	M
939048069	450005469	40	M
939048070	450005469	40	M
939048071	450005469	41	M
939048072	450005469	41	M
939048073	450005469	41	M
939048074	450005469	42	M
939048075	450005469	42	M
939048076	450005469	42	M
939048077	450005469	43	M
939048078	450005469	43	M
939048079	450005469	43	M
939048080	450005469	44	M
939048081	450005469	44	M
939048082	450005469	44	M
939048083	450005469	45	M
939048084	450005469	46	M
939048085	450005469	47	M
939048086	450005469	48	M
939048087	450005469	49	M
939048088	450005469	50	M
939048089	450005469	51	M
939048090	450005469	52	M
939048091	450005469	53	M
939048092	450005469	54	M
939048093	450005469	55	M
939048094	450005469	56	M
938983074	450005469	45	F
938983073	450005469	44	F
938983072	450005469	43	F
938983071	450005469	42	F
938983070	450005469	41	F
938983069	450005469	40	F
938983068	450005469	39	F
938983067	450005469	38	F
938983066	450005469	37	F
938983065	450005469	36	F
938983064	450005469	35	F
938983063	450005469	35	F
938983062	450005469	34	F
938983061	450005469	34	F
938983060	450005469	33	F
938983059	450005469	33	F
938983058	450005469	32	F
938983057	450005469	32	F
938983056	450005469	31	F
938983055	450005469	31	F
938983054	450005469	30	F
938983053	450005469	30	F
939047981	450005469	26	M
939047980	450005469	26	M
939047979	450005469	26	M
939047978	450005469	26	M
939047977	450005469	26	M
939047976	450005469	25	M
939047975	450005469	25	M
939047974	450005469	25	M
939047973	450005469	25	M
939047972	450005469	25	M
939047971	450005469	25	M
939047970	450005469	25	M
939047969	450005469	25	M
939047968	450005469	25	M
939047967	450005469	25	M
939047966	450005469	25	M
939047965	450005469	24	M
939047964	450005469	24	M
939047963	450005469	24	M
939047962	450005469	24	M
939047961	450005469	24	M
939047960	450005469	24	M
939047959	450005469	24	M
939047958	450005469	24	M
939047957	450005469	24	M
939047956	450005469	24	M
939047955	450005469	24	M
939047954	450005469	24	M
939047953	450005469	24	M
939047952	450005469	23	M
939047951	450005469	23	M
939047950	450005469	23	M
939047949	450005469	23	M
939047948	450005469	23	M
939047947	450005469	23	M
939047946	450005469	23	M
939047945	450005469	23	M
939047944	450005469	23	M
939047943	450005469	23	M
939047942	450005469	23	M
939047941	450005469	23	M
939047940	450005469	23	M
939047939	450005469	23	M
939047938	450005469	22	M
939047937	450005469	22	M
939047936	450005469	22	M
939047935	450005469	22	M
939047934	450005469	22	M
939047933	450005469	22	M
939047932	450005469	22	M
939047931	450005469	22	M
939047930	450005469	22	M
939047929	450005469	22	M
939047928	450005469	22	M
939047927	450005469	22	M
939047926	450005469	22	M
939047925	450005469	22	M
939047924	450005469	22	M
939047923	450005469	21	M
939047922	450005469	21	M
939047921	450005469	21	M
939047982	450005469	26	M
939047920	450005469	21	M
939047919	450005469	21	M
939668159	450031710	84	F
939668158	450031710	87	F
939668157	450031710	87	F
939668156	450031710	91	F
939668155	450031710	68	F
939668154	450031710	90	F
939668153	450031710	98	F
939668152	450031710	77	F
939668151	450031710	75	F
939668150	450031710	86	F
939668149	450031710	89	F
939668148	450031710	86	F
939668147	450031710	80	F
939668146	450031710	99	F
939668145	450031710	95	F
939668144	450031710	84	F
939668143	450031710	80	F
939668142	450031710	77	F
939668141	450031710	89	F
939668140	450031710	75	F
939668139	450031710	78	F
939668138	450031710	76	F
939668137	450031710	85	F
939668136	450031710	82	F
939668135	450031710	93	F
939668134	450031710	86	F
939668133	450031710	97	F
939668132	450031710	92	F
939668131	450031710	88	F
939668130	450031710	94	F
939668129	450031710	77	F
939668128	450031710	79	F
939668127	450031710	79	F
939668126	450031710	78	F
939668125	450031710	78	F
939668124	450031710	86	F
939668123	450031710	89	F
939668122	450031710	99	F
939668121	450031710	93	F
939668120	450031710	88	F
939668119	450031710	74	F
939668118	450031710	84	F
939668117	450031710	89	F
939668116	450031710	82	F
939668115	450031710	85	F
939668114	450031710	77	F
939668113	450031710	77	F
939668112	450031710	87	F
939668111	450031710	66	F
939668110	450031710	70	F
939668109	450031710	83	F
939668108	450031710	86	F
939668107	450031710	76	F
940535156	450031710	75	M
940535155	450031710	90	M
940535154	450031710	96	M
940535153	450031710	84	M
940535160	450031710	84	M
940535162	450031710	83	M
940535163	450031710	87	M
940535164	450031710	70	M
940535161	450031710	87	M
940535165	450031710	79	M
940535166	450031710	105	M
940535159	450031710	95	M
940535158	450031710	78	M
940535157	450031710	85	M
939668186	450031710	87	F
939668185	450031710	87	F
939668184	450031710	77	F
939668183	450031710	98	F
939668182	450031710	99	F
939668181	450031710	83	F
939668180	450031710	90	F
939668179	450031710	83	F
939668178	450031710	100	F
939668177	450031710	87	F
939668176	450031710	90	F
939668175	450031710	90	F
939668174	450031710	71	F
939668173	450031710	86	F
939668172	450031710	104	F
939668171	450031710	84	F
939668170	450031710	80	F
940535167	450031710	78	M
940535168	450031710	80	M
940535169	450031710	80	M
940535170	450031710	82	M
940535171	450031710	97	M
940535172	450031710	90	M
940535173	450031710	78	M
940535174	450031710	77	M
940535175	450031710	79	M
940535176	450031710	66	M
940535177	450031710	78	M
940535178	450031710	78	M
940535179	450031710	71	M
940535180	450031710	82	M
940535181	450031710	100	M
940535182	450031710	80	M
940535183	450031710	83	M
939668169	450031710	88	F
939668168	450031710	82	F
939668167	450031710	93	F
939668166	450031710	89	F
939668165	450031710	101	F
939668164	450031710	81	F
939668163	450031710	90	F
939668162	450031710	78	F
939668161	450031710	74	F
939668160	450031710	86	F
939668207	450031711	96	F
940535214	450031711	90	M
940535217	450031711	66	M
940535216	450031711	85	M
939668268	450031711	92	F
939668267	450031711	78	F
939668266	450031711	87	F
939668265	450031711	81	F
939668264	450031711	86	F
939668263	450031711	99	F
939668262	450031711	86	F
939668261	450031711	79	F
939668260	450031711	67	F
939668259	450031711	102	F
939668258	450031711	89	F
939668257	450031711	75	F
939668256	450031711	75	F
939668255	450031711	79	F
939668254	450031711	94	F
939668253	450031711	76	F
939668252	450031711	89	F
939668251	450031711	80	F
939668250	450031711	84	F
939668249	450031711	80	F
939668248	450031711	78	F
939668247	450031711	86	F
939668246	450031711	86	F
939668245	450031711	70	F
939668244	450031711	89	F
939668243	450031711	81	F
939668242	450031711	87	F
939668241	450031711	68	F
939668240	450031711	83	F
939668239	450031711	88	F
939668238	450031711	87	F
939668237	450031711	90	F
939668236	450031711	85	F
939668235	450031711	89	F
939668234	450031711	79	F
939668233	450031711	89	F
939668232	450031711	82	F
939668231	450031711	89	F
939668230	450031711	88	F
939668229	450031711	87	F
939668228	450031711	66	F
939668227	450031711	75	F
939668226	450031711	91	F
939668225	450031711	89	F
939668224	450031711	91	F
939668223	450031711	103	F
939668222	450031711	94	F
939668221	450031711	98	F
939668220	450031711	65	F
939668219	450031711	69	F
939668218	450031711	83	F
939668217	450031711	99	F
939668216	450031711	79	F
939668215	450031711	86	F
939668214	450031711	67	F
939668213	450031711	84	F
939668212	450031711	90	F
939668211	450031711	69	F
939668210	450031711	83	F
939668209	450031711	72	F
939668208	450031711	102	F
939668206	450031711	69	F
939668205	450031711	68	F
939668204	450031711	87	F
939668203	450031711	81	F
939668202	450031711	77	F
940535213	450031711	81	M
940535212	450031711	89	M
940535211	450031711	83	M
940535215	450031711	74	M
940535210	450031711	90	M
939668280	450031711	86	F
939668279	450031711	74	F
939668278	450031711	78	F
939668277	450031711	77	F
939668276	450031711	88	F
939668275	450031711	88	F
939668274	450031711	83	F
939668273	450031711	90	F
940535209	450031711	72	M
940535208	450031711	75	M
940535207	450031711	82	M
940535206	450031711	75	M
940535205	450031711	84	M
940535204	450031711	75	M
940535203	450031711	88	M
940535202	450031711	88	M
940535201	450031711	78	M
940535200	450031711	89	M
940535199	450031711	86	M
940535198	450031711	87	M
940535197	450031711	76	M
940535196	450031711	87	M
940535195	450031711	77	M
940535194	450031711	80	M
940535193	450031711	87	M
940535192	450031711	81	M
939668272	450031711	86	F
939668271	450031711	88	F
939668270	450031711	100	F
939668269	450031711	89	F
940631775	450037963	86	M
940631776	450037963	83	M
939912893	450037963	88	F
939912894	450037963	74	F
939912895	450037963	97	F
939912896	450037963	93	F
939912897	450037963	78	F
939912967	450037963	85	F
939912958	450037963	100	F
939912957	450037963	97	F
940631773	450037963	89	M
940631777	450037963	89	M
939912956	450037963	92	F
939912955	450037963	65	F
939912954	450037963	89	F
939912953	450037963	76	F
939912952	450037963	66	F
939912951	450037963	74	F
939912950	450037963	91	F
939912949	450037963	90	F
939912948	450037963	87	F
939912947	450037963	86	F
939912946	450037963	86	F
939912945	450037963	99	F
939912944	450037963	81	F
939912943	450037963	85	F
939912942	450037963	83	F
939912941	450037963	83	F
939912940	450037963	68	F
939912939	450037963	88	F
939912938	450037963	75	F
939912937	450037963	89	F
939912936	450037963	94	F
939912935	450037963	86	F
939912934	450037963	71	F
939912933	450037963	74	F
939912932	450037963	75	F
939912931	450037963	88	F
939912930	450037963	96	F
939912929	450037963	98	F
939912928	450037963	104	F
939912927	450037963	87	F
939912926	450037963	89	F
939912925	450037963	85	F
939912924	450037963	87	F
939912923	450037963	80	F
939912922	450037963	83	F
939912921	450037963	85	F
939912920	450037963	91	F
939912919	450037963	84	F
939912918	450037963	79	F
939912917	450037963	73	F
939912916	450037963	91	F
939912915	450037963	81	F
939912914	450037963	68	F
939912913	450037963	69	F
939912912	450037963	86	F
939912911	450037963	86	F
939912910	450037963	69	F
939912909	450037963	86	F
939912959	450037963	91	F
939912960	450037963	79	F
939912961	450037963	74	F
939912962	450037963	93	F
939912963	450037963	91	F
939912964	450037963	89	F
939912965	450037963	79	F
939912966	450037963	87	F
940631778	450037963	77	M
940631779	450037963	87	M
940631763	450037963	87	M
940631764	450037963	77	M
940631765	450037963	84	M
940631766	450037963	78	M
940631755	450037963	91	M
939912907	450037963	100	F
939912904	450037963	90	F
939912903	450037963	91	F
940631767	450037963	83	M
940631772	450037963	79	M
940631771	450037963	76	M
940631770	450037963	79	M
939912898	450037963	87	F
939912899	450037963	93	F
939912900	450037963	98	F
939912901	450037963	92	F
939912902	450037963	71	F
940631769	450037963	96	M
940631768	450037963	85	M
939912905	450037963	87	F
939912906	450037963	97	F
939912908	450037963	79	F
940631762	450037963	72	M
940631761	450037963	71	M
940631760	450037963	91	M
940631759	450037963	69	M
940631758	450037963	82	M
940631757	450037963	65	M
940631756	450037963	78	M
939912968	450037963	96	F
939912969	450037963	89	F
939912970	450037963	89	F
940631774	450037963	84	M
939882232	450037116	86	F
939882236	450037116	94	F
939882237	450037116	77	F
939882238	450037116	75	F
939882239	450037116	71	F
939882240	450037116	85	F
939882241	450037116	98	F
939882242	450037116	77	F
939882243	450037116	73	F
939882244	450037116	89	F
939882245	450037116	101	F
939882246	450037116	87	F
939882247	450037116	93	F
939335639	450037116	60	F
939335638	450037116	56	F
939335637	450037116	36	F
939335636	450037116	34	F
939882214	450037116	80	F
939882215	450037116	85	F
939882216	450037116	89	F
939882217	450037116	96	F
939882218	450037116	100	F
939882219	450037116	93	F
939882220	450037116	77	F
939882221	450037116	99	F
939882222	450037116	75	F
939882223	450037116	81	F
939882224	450037116	85	F
939882225	450037116	67	F
939882226	450037116	86	F
939882227	450037116	87	F
939882228	450037116	86	F
939882229	450037116	100	F
939882230	450037116	73	F
939882231	450037116	84	F
939882233	450037116	85	F
939882234	450037116	88	F
939882235	450037116	84	F
940619952	450037116	83	M
940619953	450037116	77	M
940619954	450037116	70	M
940619955	450037116	88	M
940619956	450037116	86	M
940619957	450037116	89	M
940619958	450037116	67	M
940619959	450037116	100	M
940619960	450037116	74	M
940619961	450037116	87	M
940619962	450037116	71	M
940619963	450037116	79	M
940619964	450037116	81	M
940619965	450037116	77	M
940619966	450037116	92	M
940619967	450037116	74	M
940356914	450037116	47	M
940356913	450037116	63	M
939912883	450037964	77	F
940631753	450037964	86	M
940631754	450037964	80	M
939912890	450037964	94	F
939912889	450037964	97	F
939912888	450037964	81	F
939912887	450037964	97	F
940361138	450037964	60	M
939912886	450037964	88	F
939912885	450037964	81	F
939912859	450037964	97	F
939912860	450037964	91	F
939912861	450037964	80	F
939912862	450037964	92	F
939912863	450037964	77	F
939912864	450037964	88	F
939912865	450037964	92	F
939912879	450037964	93	F
939912880	450037964	94	F
939912881	450037964	88	F
939912882	450037964	82	F
940631752	450037964	88	M
939912884	450037964	83	F
939912866	450037964	82	F
939912867	450037964	76	F
939912868	450037964	91	F
939912869	450037964	82	F
939912870	450037964	81	F
939912871	450037964	83	F
939912872	450037964	97	F
939912873	450037964	69	F
939912874	450037964	81	F
939912875	450037964	96	F
939912892	450037964	85	F
939912891	450037964	97	F
939912876	450037964	78	F
939912877	450037964	90	F
940631740	450037964	79	M
939350665	450037964	59	F
939350664	450037964	52	F
939350663	450037964	55	F
939912878	450037964	83	F
940361139	450037964	51	M
940631741	450037964	71	M
940631742	450037964	83	M
940631743	450037964	68	M
940631744	450037964	78	M
940631745	450037964	90	M
940631746	450037964	78	M
940631747	450037964	77	M
940631748	450037964	77	M
940631749	450037964	87	M
940631750	450037964	71	M
940631751	450037964	88	M
940620000	450037117	75	M
940620001	450037117	73	M
940620002	450037117	89	M
939882380	450037117	85	F
939882379	450037117	89	F
939882378	450037117	88	F
939882377	450037117	92	F
939882376	450037117	100	F
939882375	450037117	82	F
939882374	450037117	80	F
939882373	450037117	94	F
939882372	450037117	88	F
939882371	450037117	69	F
939882370	450037117	103	F
939882369	450037117	87	F
939882368	450037117	90	F
939882367	450037117	78	F
939882366	450037117	79	F
939882365	450037117	95	F
939882364	450037117	92	F
939882363	450037117	77	F
940619996	450037117	89	M
940619997	450037117	90	M
940619998	450037117	73	M
940619999	450037117	71	M
940007681	450040491	86	F
940007682	450040491	95	F
940007684	450040491	82	F
940007693	450040491	97	F
940668812	450040491	82	M
940668813	450040491	85	M
940668814	450040491	77	M
940668815	450040491	88	M
940668816	450040491	90	M
940668810	450040491	90	M
940007694	450040491	80	F
940007685	450040491	75	F
940007686	450040491	90	F
940668811	450040491	67	M
940007689	450040491	101	F
940007688	450040491	85	F
940007692	450040491	81	F
940007691	450040491	90	F
940007687	450040491	88	F
940007690	450040491	88	F
940007683	450040491	85	F
940007677	450040491	87	F
940007678	450040491	89	F
940007679	450040491	89	F
940007680	450040491	68	F
938811412	450000887	18	F
938811410	450000887	19	F
938811409	450000887	18	F
938811408	450000887	23	F
938811407	450000887	18	F
938811406	450000887	21	F
938811405	450000887	23	F
938811404	450000887	21	F
938811403	450000887	19	F
938811402	450000887	23	F
938811401	450000887	23	F
938811400	450000887	22	F
938811399	450000887	18	F
938811398	450000887	22	F
938811397	450000887	18	F
938811396	450000887	21	F
938811395	450000887	18	F
938811394	450000887	19	F
938811393	450000887	21	F
938811392	450000887	18	F
938811391	450000887	19	F
938811390	450000887	20	F
938811389	450000887	24	F
938811388	450000887	19	F
938811387	450000887	21	F
938811386	450000887	23	F
938811385	450000887	21	F
938811384	450000887	20	F
938811383	450000887	23	F
938811382	450000887	19	F
938811381	450000887	18	F
938811380	450000887	19	F
938811379	450000887	24	F
938811378	450000887	22	F
938811377	450000887	20	F
938811376	450000887	23	F
938811375	450000887	18	F
938811374	450000887	18	F
938811373	450000887	20	F
938811372	450000887	20	F
938811371	450000887	19	F
938811370	450000887	18	F
938811369	450000887	19	F
938811368	450000887	21	F
938811367	450000887	18	F
938811366	450000887	18	F
938811365	450000887	21	F
938811364	450000887	19	F
938811363	450000887	20	F
938811362	450000887	19	F
938811361	450000887	22	F
938811360	450000887	18	F
938811359	450000887	19	F
938811358	450000887	19	F
938811357	450000887	19	F
938811356	450000887	23	F
938811355	450000887	19	F
938811354	450000887	19	F
938811353	450000887	19	F
938811352	450000887	21	F
938811351	450000887	19	F
938811350	450000887	21	F
938811349	450000887	22	F
938811348	450000887	18	F
938811347	450000887	19	F
938811346	450000887	19	F
938811345	450000887	19	F
938811344	450000887	22	F
938811343	450000887	21	F
938811342	450000887	19	F
938811341	450000887	18	F
938811340	450000887	19	F
938811339	450000887	18	F
938811338	450000887	19	F
938811337	450000887	19	F
938811336	450000887	20	F
938811335	450000887	18	F
938811334	450000887	24	F
938811333	450000887	20	F
938811332	450000887	21	F
938811331	450000887	21	F
938811330	450000887	21	F
938811329	450000887	21	F
938811328	450000887	21	F
938811327	450000887	23	F
938811326	450000887	20	F
938811325	450000887	21	F
938811324	450000887	24	F
938811323	450000887	19	F
938811322	450000887	18	F
938811321	450000887	19	F
938811320	450000887	19	F
938811319	450000887	18	F
938811318	450000887	19	F
938811317	450000887	21	F
938811316	450000887	18	F
938811315	450000887	19	F
938811314	450000887	21	F
938811313	450000887	19	F
938811312	450000887	21	F
938811311	450000887	18	F
938811310	450000887	22	F
938811309	450000887	18	F
938811308	450000887	21	F
938811307	450000887	19	F
938811306	450000887	23	F
938811305	450000887	19	F
938811304	450000887	21	F
938811303	450000887	20	F
938811302	450000887	19	F
938811301	450000887	20	F
938811300	450000887	18	F
938811299	450000887	19	F
938811298	450000887	20	F
938811297	450000887	21	F
938811296	450000887	18	F
938811295	450000887	25	F
938811294	450000887	22	F
938811293	450000887	18	F
938811292	450000887	19	F
938811291	450000887	21	F
938811290	450000887	18	F
938811289	450000887	19	F
938811288	450000887	24	F
938811287	450000887	23	F
938811286	450000887	19	F
938811285	450000887	19	F
938811284	450000887	18	F
938811283	450000887	19	F
938811282	450000887	18	F
938811281	450000887	18	F
938811280	450000887	19	F
938811279	450000887	22	F
938811278	450000887	21	F
938811277	450000887	21	F
938811276	450000887	26	F
938811275	450000887	19	F
938811274	450000887	21	F
938811273	450000887	21	F
938811272	450000887	23	F
938811271	450000887	19	F
938811270	450000887	19	F
938811269	450000887	19	F
938811268	450000887	22	F
938811267	450000887	24	F
938811266	450000887	20	F
938811265	450000887	23	F
938811264	450000887	19	F
